GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MaVille,org.prototype.Models,Requete,71,0,0,0,28,0,14,0,14,0
MaVille,org.prototype.Models,RequeteStatut,15,0,0,0,3,0,1,0,1,0
MaVille,org.prototype.Models,Travail,103,0,0,0,42,0,21,0,21,0
MaVille,org.prototype.Models,NotificationDeTravail,14,0,0,0,4,0,2,0,2,0
MaVille,org.prototype.Models,Entrave,33,0,0,0,14,0,7,0,7,0
MaVille,org.prototype.Models,Intervenant,8,18,0,0,4,6,2,3,2,3
MaVille,org.prototype.Models,Utilisateur,12,21,0,0,6,8,3,4,3,4
MaVille,org.prototype.Models,StatutCandidature,0,27,0,0,0,5,0,1,0,1
MaVille,org.prototype.Models,TypeTravail,69,0,0,0,12,0,1,0,1,0
MaVille,org.prototype.Models,Resident,24,44,0,0,12,14,6,7,6,7
MaVille,org.prototype.Models,TypeIntervenant,0,27,0,0,0,5,0,1,0,1
MaVille,org.prototype.Models,StatutProjet,27,0,0,0,5,0,1,0,1,0
MaVille,org.prototype.Models,Candidature,0,47,0,0,0,18,0,9,0,9
MaVille,org.prototype.Models,Notification,33,0,0,0,12,0,6,0,6,0
MaVille,org.prototype.Models,NotificationDeCandidature,14,0,0,0,4,0,2,0,2,0
MaVille,org.prototype.Models,PlageHoraire,42,373,7,7,14,35,14,11,7,11
MaVille,org.prototype.API,ApiCaller,33,0,2,0,8,0,3,0,2,0
MaVille,org.prototype,MaVille,16,0,0,0,8,0,4,0,4,0
MaVille,org.prototype.Views,IntervenantView,1779,0,119,0,406,0,80,0,10,0
MaVille,org.prototype.Views,ResidentView,2028,0,141,0,367,0,95,0,13,0
MaVille,org.prototype.Views,UnauthenticatedView,350,0,47,0,153,0,42,0,7,0
MaVille,org.prototype.Views,View,21,0,0,0,8,0,5,0,5,0
MaVille,org.prototype.Controllers,ResidentController,177,290,20,24,43,58,21,19,6,12
MaVille,org.prototype.Controllers,UtilisateurController,3,44,1,5,1,10,2,4,1,2
MaVille,org.prototype.Controllers,RequeteController,407,0,32,0,82,0,32,0,16,0
MaVille,org.prototype.Controllers,PlageHoraireController,706,625,97,35,82,73,66,17,5,9
MaVille,org.prototype.Controllers,EntraveController,127,0,12,0,27,0,11,0,5,0
MaVille,org.prototype.Controllers,IntervenantController,23,216,8,24,11,48,9,20,1,11
MaVille,org.prototype.Controllers,TravailController,974,0,88,0,212,0,70,0,21,0
MaVille,org.prototype.Controllers,CandidatureController,89,316,15,25,20,61,16,20,5,11
MaVille,org.prototype.Controllers,NotificationController,586,0,38,0,98,0,32,0,13,0
